2022-10-27 16:28:25,794, INFO, ParaLogger, {'threshold': 4.23822310717099, 'timestep': 18.411852902655454, 'beta': 0.7461860641441397}
2022-10-27 16:36:38,966, INFO, ParaLogger, {'threshold': 3.4300651961357853, 'timestep': 18.05296857920108, 'beta': 0.9479717269504806}
2022-10-27 16:46:49,313, INFO, ParaLogger, {'threshold': 2.8735505248052235, 'timestep': 8.226191451483436, 'beta': 0.2996462085118723}
2022-10-27 16:54:32,450, INFO, ParaLogger, {'threshold': 0.795115723378067, 'timestep': 15.189771866061372, 'beta': 0.624670363516266}
2022-10-27 17:01:45,436, INFO, ParaLogger, {'threshold': 2.5524761752862353, 'timestep': 11.171200549133795, 'beta': 0.3378357333962311}
2022-10-27 17:09:07,815, INFO, ParaLogger, {'threshold': 1.2941966235581048, 'timestep': 8.722048283193706, 'beta': 0.21311284506219275}
2022-10-27 17:17:26,828, INFO, ParaLogger, {'threshold': 3.3840197651344193, 'timestep': 24.483266808405652, 'beta': 0.36502609988956936}
2022-10-27 17:25:05,240, INFO, ParaLogger, {'threshold': 4.694257417467082, 'timestep': 23.712680966692897, 'beta': 0.5119376077643845}
2022-10-27 17:33:36,743, INFO, ParaLogger, {'threshold': 1.7406609859922306, 'timestep': 8.510136318920598, 'beta': 0.6439059616999553}
2022-10-27 17:42:10,092, INFO, ParaLogger, {'threshold': 2.8280648042918504, 'timestep': 20.715910055126248, 'beta': 0.7866969429045327}
2022-10-27 17:51:00,003, INFO, ParaLogger, {'threshold': 1.8227047691538774, 'timestep': 17.66897765322451, 'beta': 0.502482014286627}
2022-10-27 17:58:09,728, INFO, ParaLogger, {'threshold': 0.839970781109593, 'timestep': 9.766677915576865, 'beta': 0.6102272417496465}
2022-10-27 18:04:43,854, INFO, ParaLogger, {'threshold': 4.242482724607001, 'timestep': 23.07599491525744, 'beta': 0.44513775812038514}
